elo_home,elo_away,elo_diff,home_adv,ppg5_home,ppg5_away,ppg10_home,ppg10_away,gf5_home,ga5_home,gf5_away,ga5_away,gd10_home,gd10_away,streak_home,streak_away,rest_home,rest_away,h2h_winrate_home,h2h_drawrate,h2h_gd_home,h2h_games,importance,label
1862.2007501555652,2074.50676291739,-147.30601276182483,1,1.0,2.0,0.9,1.9,1.0,1.2,1.0,0.6,-0.5,0.4,-1,3,5,4,0.375,0.375,0.425,40,50.0,draw
1934.3645022335616,2151.8695457909666,-152.5050435574051,1,1.0,1.6,0.9,1.6,0.8,1.0,2.0,0.6,-0.6,1.0,0,2,5,4,0.10869565217391304,0.1956521739130435,-1.4565217391304348,46,50.0,away_win
1878.3843658725125,1813.9864532287293,129.39791264378323,1,2.0,1.2,1.8,1.1,2.0,1.0,0.8,0.8,0.8,-0.1,-1,0,4,5,0.16,0.2,-0.96,25,50.0,away_win
1782.394855564798,2034.9590766463853,-187.56422108158722,1,1.2,2.2,1.0,2.0,1.4,1.6,1.6,1.0,-0.6,0.5,-2,1,5,5,0.13043478260869565,0.21739130434782608,-1.5434782608695652,46,50.0,home_win
1641.5159968184726,2041.4854939401532,-334.96949712168066,1,0.6,2.2,0.3,2.1,1.0,3.2,2.4,1.0,-2.0,1.2,-1,1,4,5,0.18421052631578946,0.13157894736842105,-1.6842105263157894,38,50.0,away_win
1789.355938120009,1740.6537996185655,48.702138501443414,0,1.6,2.0,1.7,1.7,1.8,1.4,1.8,0.6,0.2,0.8,-1,3,4,4,0.3125,0.375,-0.3125,16,20.0,draw
1494.9979858055146,1458.3734208384794,36.62456496703521,0,2.6,1.2,1.9,1.7,1.6,0.4,1.0,1.4,0.6,0.2,0,-2,90,90,0.26666666666666666,0.3333333333333333,-0.26666666666666666,15,20.0,away_win
1780.4399560745762,1579.8043819439258,265.6355741306504,1,1.6,0.6,1.9,0.7,1.8,1.0,0.8,1.8,0.7,-0.6,2,-1,4,4,0.3333333333333333,0.5,0.6666666666666666,12,20.0,draw
1995.9975854036704,1872.3635179292844,123.63406747438603,0,3.0,2.6,2.7,2.6,2.8,0.6,2.2,0.2,1.4,1.6,6,4,6,4,1.0,0.0,2.0,1,20.0,draw
1377.8252549105669,1442.120164723444,0.7050901871227779,1,0.8,0.8,0.8,1.2,1.0,2.0,0.8,1.4,-0.8,-0.5,1,-2,3,4,0.5,0.0,-0.5,4,20.0,home_win
1742.7657143240667,1626.9441908746733,180.82152344939345,1,1.0,1.2,1.0,1.2,0.6,0.8,1.2,1.8,-0.2,-0.4,-2,1,3,3,0.5,0.2826086956521739,1.1521739130434783,46,20.0,away_win
1846.3226924615408,1708.7203954720637,137.60229698947705,0,1.4,2.0,2.2,1.7,1.6,1.2,1.6,1.0,1.7,0.5,0,0,4,5,0.5,0.0,-0.25,4,20.0,home_win
2039.2780930893232,1925.2872422879036,178.99085080141958,1,1.8,0.8,1.9,1.4,2.6,1.4,1.8,1.4,1.3,0.8,1,-2,3,3,0.6923076923076923,0.1346153846153846,1.4038461538461537,52,50.0,draw
1894.0550162654836,2122.670576731189,-163.61556046570558,1,0.8,2.2,1.7,2.2,1.2,3.2,2.2,0.2,-0.3,2.2,-3,1,3,3,0.0,0.16666666666666666,-1.8333333333333333,6,50.0,home_win
1407.9177840773834,1358.9328283510313,48.984955726352155,0,0.6,0.0,0.7,0.7,0.4,1.6,0.4,2.6,-1.1,-1.2,-1,-7,3,3,1.0,0.0,1.0,1,50.0,draw
1678.106002367788,1203.3657118423257,539.7402905254623,1,1.2,1.2,1.5,0.7,0.6,0.6,0.8,1.0,0.3,-1.1,0,-2,4,90,0.5,0.25,0.0,0,20.0,draw
1295.889310593376,1212.225391159756,148.66391943361987,1,1.4,1.0,0.7,0.5,0.8,0.6,1.2,1.2,-1.3,-1.5,0,0,3,3,0.5,0.16666666666666666,0.6666666666666666,6,50.0,away_win
1303.3731462464245,1151.7305274664282,216.64261877999638,1,1.4,0.4,1.0,0.6,1.0,2.0,0.2,1.0,-1.9,-0.9,0,0,3,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,3,50.0,home_win
1201.5242443298957,873.3563977906638,393.16784653923196,1,1.2,0.0,0.8,0.0,0.8,1.6,0.2,3.0,-1.6,-4.1,-1,-39,3,6,0.6,0.2,0.6,5,50.0,draw
1616.2578951246135,1422.821719306494,258.4361758181194,1,2.6,1.2,1.7,0.6,1.6,0.2,1.0,1.2,-0.4,-1.2,1,1,3,3,1.0,0.0,2.0,2,50.0,away_win
1825.573556104418,1800.2087820268289,90.36477407758912,1,1.2,1.0,1.7,1.7,1.2,1.0,1.0,1.4,0.7,0.1,0,-1,3,3,0.0,1.0,0.0,1,50.0,draw
1496.3001137285028,1426.405899822364,134.8942139061387,1,0.8,1.4,0.8,1.1,0.8,1.6,1.4,1.2,-0.9,0.1,0,0,3,3,0.6,0.2,1.6,5,50.0,home_win
1381.3118086870522,1568.8585978323295,-122.54678914527722,1,2.0,1.0,1.0,1.4,1.4,1.0,0.8,1.0,-1.4,0.3,0,0,3,3,0.6,0.0,0.0,5,50.0,draw
1276.6448529626812,1659.588260814573,-317.94340785189183,1,0.2,2.0,0.1,1.9,0.2,2.2,1.6,0.6,-2.1,0.7,-3,3,3,3,0.0,0.0,-1.6666666666666667,3,50.0,away_win
1691.2640901779748,1556.5549802818537,199.70910989612116,1,2.0,0.2,1.7,0.7,1.4,0.8,0.6,1.4,0.2,-0.8,1,-3,3,3,1.0,0.0,1.0,1,50.0,draw
1428.0956900605188,1532.9955654460293,-39.89987538551054,1,0.2,0.8,0.2,1.1,0.8,2.8,1.2,2.8,-1.9,-1.0,0,0,3,3,0.3333333333333333,0.3333333333333333,0.0,6,50.0,draw
1634.7881690701215,1641.1110599304088,58.677109139712684,1,2.2,1.6,1.8,1.4,1.8,1.2,1.2,1.0,0.3,0.1,0,0,3,3,0.0,1.0,0.0,1,50.0,draw
1564.632090314316,1857.5199049928221,-227.88781467850617,1,0.8,2.0,0.5,2.1,0.6,1.4,0.8,0.6,-1.7,0.5,-3,0,3,3,0.4444444444444444,0.1111111111111111,0.3333333333333333,9,50.0,away_win
1727.8759014161299,1755.0806758246408,37.79522559148904,1,1.2,0.8,1.5,1.2,1.0,1.6,0.4,0.6,0.0,0.1,1,0,3,3,0.16666666666666666,0.3333333333333333,-1.3333333333333333,6,50.0,home_win
1893.0300598957012,1771.8763131298024,186.15374676589886,1,2.0,1.8,2.2,1.2,2.6,1.2,1.4,1.2,1.5,-0.4,0,2,3,3,0.5161290322580645,0.2903225806451613,0.16129032258064516,31,50.0,draw
1961.307123818946,2120.4275581714996,-94.12043435255373,1,1.8,2.6,2.0,2.6,1.8,2.2,2.8,0.6,0.7,1.9,2,0,3,3,0.0,0.2857142857142857,-1.4285714285714286,7,50.0,away_win
1725.0453783798225,1810.693391197257,-20.64801281743439,1,2.2,1.8,1.7,1.8,1.4,0.6,1.6,1.2,0.2,0.5,1,2,3,3,0.375,0.125,-0.25,8,50.0,home_win
1715.2102364615503,1814.165513268077,-33.955276806526626,1,0.8,1.8,1.1,2.2,1.0,2.8,1.4,1.2,-0.8,1.1,-2,2,3,3,0.2222222222222222,0.5555555555555556,0.1111111111111111,9,50.0,away_win
1813.9326879929279,1668.9302181077505,210.00246988517733,1,1.8,0.4,1.8,0.9,2.6,1.2,0.8,2.8,1.3,-1.2,1,-1,3,3,0.8181818181818182,0.0,1.3636363636363635,11,50.0,home_win
2104.7776372325816,1877.293495035892,292.4841421966896,1,2.2,1.2,2.3,1.9,1.6,0.2,0.8,1.2,2.1,0.8,0,-1,3,3,0.3157894736842105,0.3157894736842105,-0.3684210526315789,19,50.0,home_win
2071.3557276357033,1963.887723033742,172.46800460196118,1,2.6,1.6,2.5,2.1,2.0,0.2,1.6,0.6,2.7,2.2,2,2,3,3,0.6,0.25,0.85,20,50.0,away_win
1725.6142167484018,2143.5911182180066,-352.97690146960485,1,1.2,2.0,1.6,2.5,0.8,2.0,3.0,1.0,-0.3,3.2,-1,-1,3,3,0.0,0.0,-2.9166666666666665,12,50.0,away_win
1884.885090720205,1726.388650961257,223.49643975894787,1,2.0,1.2,2.0,1.2,2.0,1.0,1.2,0.8,0.9,0.4,0,0,3,3,0.5,0.5,0.5,2,50.0,home_win
2035.8041249383853,2018.353790560305,82.45033437808002,1,2.2,1.4,2.6,2.0,3.4,0.4,1.2,0.4,2.8,1.3,0,0,3,3,0.45454545454545453,0.4090909090909091,0.36363636363636365,22,50.0,draw
1707.3673316454547,1591.8446819646197,180.522649680835,1,1.0,0.6,1.0,0.7,0.8,1.0,0.6,1.0,-0.6,-0.4,-1,-1,3,3,0.6,0.4,0.8,5,50.0,away_win
1404.8854342265506,1388.2154850626912,81.66994916385943,1,1.0,1.0,0.8,1.1,0.6,0.8,1.0,1.0,-0.6,-0.3,1,0,90,25,0.34210526315789475,0.23684210526315788,0.02631578947368421,38,20.0,draw
1653.4657932941466,1378.5707036344381,274.89508965970845,0,1.6,0.8,1.6,1.3,1.4,1.2,1.0,1.8,0.2,-0.1,1,0,90,90,0.5,0.5,2.25,4,20.0,home_win
2118.4809750365903,1134.9902735666064,1048.4907014699838,1,2.2,0.4,2.3,0.6,1.8,0.2,0.2,1.0,2.2,-1.0,1,-1,28,29,1.0,0.0,4.2,5,20.0,home_win
1692.6457657446156,1519.9304979307656,237.71526781385,1,0.8,1.4,1.1,0.8,1.0,2.0,1.2,1.2,-0.8,-0.8,-3,1,28,28,0.5,0.5,1.0,4,20.0,home_win
893.6457906870342,1260.8004171566997,-302.1546264696656,1,0.2,0.8,0.1,0.7,0.0,2.4,0.6,0.8,-3.7,-0.8,0,-1,29,29,0.0,0.25,-1.25,4,20.0,away_win
1672.545537372691,1404.4162041776538,333.12933319503713,1,2.6,0.8,1.9,0.8,2.0,0.0,0.4,1.2,0.9,-0.7,4,0,28,29,0.5,0.25,0.0,0,20.0,draw
1819.2140463334179,1942.9186850110705,-58.70463867765261,1,0.8,1.2,1.5,1.7,1.2,1.4,1.6,2.4,0.6,0.2,0,-1,28,28,0.1111111111111111,0.5555555555555556,-0.4444444444444444,9,20.0,draw
1859.4422484306815,1419.9700115364644,504.4722368942171,1,1.4,1.8,1.9,1.2,1.6,1.2,1.2,1.2,0.7,-0.4,-1,-1,33,90,0.6153846153846154,0.3076923076923077,1.3076923076923077,13,50.0,home_win
1562.5806572939066,1327.9711021494802,299.6095551444264,1,1.4,0.6,1.1,0.7,1.6,1.4,0.4,1.4,-0.3,-1.1,2,-3,32,32,1.0,0.0,1.0,1,50.0,home_win
1527.142257178406,1391.7232555902779,200.41900158812814,1,1.6,1.0,1.3,0.6,0.8,0.4,0.6,1.4,-0.1,-0.9,2,1,33,31,0.5,0.0,-0.5,2,50.0,draw
1526.7621437698886,1370.3449521766643,221.4171915932243,1,1.2,1.6,1.3,1.4,1.0,1.0,0.6,0.6,-0.3,-0.1,1,0,33,90,0.3333333333333333,0.6666666666666666,0.3333333333333333,3,50.0,draw
1903.823373163259,1930.0286446061857,38.79472855707331,1,2.0,1.2,2.3,1.7,2.0,0.6,1.0,2.8,1.4,-0.5,1,1,28,29,0.375,0.25,0.0,8,20.0,home_win
