elo_home,elo_away,elo_diff,home_adv,ppg5_home,ppg5_away,ppg10_home,ppg10_away,gf5_home,ga5_home,gf5_away,ga5_away,gd10_home,gd10_away,streak_home,streak_away,rest_home,rest_away,h2h_winrate_home,h2h_drawrate,h2h_gd_home,h2h_games,importance,home_score
1637.3176192430935,1547.568598211653,89.74902103144063,0,1.6,1.6,1.6,1.6,1.2,0.6,1.6,1.2,0.4,0.3,2,2,3,90,0.0,0.0,-5.0,1,20.0,2
1737.0593030589848,1793.1383107695801,-56.079007710595306,0,2.0,1.8,1.9,2.2,1.2,0.8,2.4,1.0,0.5,1.8,-1,-1,3,90,0.5,0.25,0.0,0,20.0,5
1494.9978369232065,1458.3732057058446,36.624631217361866,0,2.6,1.2,1.9,1.7,1.6,0.4,1.0,1.4,0.6,0.2,0,-2,90,90,0.26666666666666666,0.3333333333333333,-0.26666666666666666,15,20.0,0
1862.2016149659087,2074.5078061887584,-147.30619122284975,1,1.0,2.0,0.9,1.9,1.0,1.2,1.0,0.6,-0.5,0.4,-1,3,5,4,0.375,0.375,0.425,40,50.0,2
1934.3656032531826,2151.8703830841164,-152.50477983093378,1,1.0,1.6,0.9,1.6,0.8,1.0,2.0,0.6,-0.6,1.0,0,2,5,4,0.10869565217391304,0.1956521739130435,-1.4565217391304348,46,50.0,2
1878.386386667289,1813.988074198573,129.39831246871586,1,2.0,1.2,1.8,1.1,2.0,1.0,0.8,0.8,0.8,-0.1,-1,0,4,5,0.16,0.2,-0.96,25,50.0,0
1782.3967098336748,2034.9596551567229,-187.5629453230481,1,1.2,2.2,1.0,2.0,1.4,1.6,1.6,1.0,-0.6,0.5,-2,1,5,5,0.13043478260869565,0.21739130434782608,-1.5434782608695652,46,50.0,4
1641.5184433758832,2041.4863922268764,-334.96794885099325,1,0.6,2.2,0.3,2.1,1.0,3.2,2.4,1.0,-2.0,1.2,-1,1,4,5,0.18421052631578946,0.13157894736842105,-1.6842105263157894,38,50.0,1
1789.3554109439215,1740.6534508545801,48.701960089341355,0,1.6,2.0,1.7,1.7,1.8,1.4,1.8,0.6,0.2,0.8,-1,3,4,4,0.3125,0.375,-0.3125,16,20.0,1
1377.8249912089782,1442.1198985519345,0.7050926570436786,1,0.8,0.8,0.8,1.2,1.0,2.0,0.8,1.4,-0.8,-0.5,1,-2,3,4,0.5,0.0,-0.5,4,20.0,1
1780.439479936244,1579.8041345059312,265.6353454303128,1,1.6,0.6,1.9,0.7,1.8,1.0,0.8,1.8,0.7,-0.6,2,-1,4,4,0.3333333333333333,0.5,0.6666666666666666,12,20.0,1
1995.9978241764504,1872.3633045016425,123.63451967480796,0,3.0,2.6,2.7,2.6,2.8,0.6,2.2,0.2,1.4,1.6,6,4,6,4,1.0,0.0,2.0,1,20.0,2
1678.1058349482878,1203.3655582775023,539.7402766707855,1,1.2,1.2,1.5,0.7,0.6,0.6,0.8,1.0,0.3,-1.1,0,-2,4,90,0.5,0.25,0.0,0,20.0,0
1742.7662454042713,1626.9447604414129,180.82148496285845,1,1.0,1.2,1.0,1.2,0.6,0.8,1.2,1.8,-0.2,-0.4,-2,1,3,3,0.5,0.2826086956521739,1.1521739130434783,46,20.0,0
1201.5195817982053,873.3520023649683,393.16757943323705,1,1.2,0.0,0.8,0.0,0.8,1.6,0.2,3.0,-1.6,-4.1,-1,-39,3,6,0.6,0.2,0.6,5,50.0,0
1303.3683236555632,1151.7257376471248,216.64258600843846,1,1.4,0.4,1.0,0.6,1.0,2.0,0.2,1.0,-1.9,-0.9,0,0,3,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,3,50.0,2
